NAME ,KEY,BPM,A,B,C,D,E,F,G,Major/Minor,Sharp/Flat
_3sLwG1ZSBA.mp3,A major,136,,,,,,,,,
_6MAkLJ79LE.mp3,D# minor,99,,,,,,,,,
__C7sd_UDU0.mp3,D minor,93,,,,,,,,,
_8enIDEKrzA.mp3,D minor,91,,,,,,,,,
_6rj5jisB7g.mp3,D# major,137,,,,,,,,,
_8n3VwG1xWA.mp3,A major,120,,,,,,,,,
_9rL1pPXblQ.mp3,D minor,106,,,,,,,,,
_BZsIY6PUPU.mp3,F minor,85,,,,,,,,,
_F0XLsyU1rY.mp3,F major,135,,,,,,,,,
_G-PTQ2OWe4.mp3,A minor,75,,,,,,,,,
_GBSwxyPuaE.mp3,F minor,172,,,,,,,,,
_E3VBQa-nAU.mp3,F# minor,90,,,,,,,,,
_gXnfGIc1Tk.mp3,D major,118,,,,,,,,,
_HckRLrBXQM.mp3,E major,150,,,,,,,,,
_I1UfeCH3SY.mp3,F minor,120,,,,,,,,,
_hnOCUkbix0.mp3,C major,104,,,,,,,,,
_IYJO-Ik7Pg.mp3,A minor,112,,,,,,,,,
_KimnwIfhXc.mp3,G major,91,,,,,,,,,
_Kmh4BbJPz8.mp3,A# major,120,,,,,,,,,
_NJKQkQu3NI.mp3,A minor,111,,,,,,,,,
_lDncgUwor4.mp3,E major,120,,,,,,,,,
_krbxXawoAU.mp3,G# minor,111,,,,,,,,,
_nufc37CHso.mp3,D minor,151,,,,,,,,,
_SsccRkLLzU.mp3,C minor,119,,,,,,,,,
_r7yKaDxGvc.mp3,C# minor,111,,,,,,,,,
_U_4J_e6tQM.mp3,F minor,136,,,,,,,,,
_oACRt-Qp-s.mp3,A# minor,111,,,,,,,,,
_uQOchrK7NA.mp3,G minor,123,,,,,,,,,
_UU29bZjgz4.mp3,C minor,93,,,,,,,,,
_TBd-UCwVAY.mp3,C major,150,,,,,,,,,
_UKLncvGxQ8.mp3,G# major,144,,,,,,,,,
_XOa7zVqxA4.mp3,A minor,150,,,,,,,,,
_ZILy1qRZTU.mp3,D# major,114,,,,,,,,,
_wZSB0b9OCA.mp3,B major,105,,,,,,,,,
_Zgi2KNtWVY.mp3,D minor,89,,,,,,,,,
-1yXdOufzKE.mp3,C minor,106,,,,,,,,,
-7ERMwnoxSI.mp3,D minor,89,,,,,,,,,
-c7Ca2CY6x8.mp3,D major,149,,,,,,,,,
0-U4Yr9UNBo.mp3,D major,117,,,,,,,,,
0A_35Z4eQfg.mp3,A major,129,,,,,,,,,
0A43tb18T8Y.mp3,D minor,143,,,,,,,,,
-44_igsZtgU.mp3,A major,118,,,,,,,,,
0B79RkBxSgU.mp3,A# minor,123,,,,,,,,,
0AHGLGQgAn8.mp3,E major,90,,,,,,,,,
0DuFujGCswU.mp3,G major,79,,,,,,,,,
0eN9KP6lOZs.mp3,F major,122,,,,,,,,,
0cP-qr1JUBI.mp3,B minor,144,,,,,,,,,
0gjRzLqXijQ.mp3,G minor,144,,,,,,,,,
0G7g9lw20l4.mp3,F major,78,,,,,,,,,
0etzTTWyISw.mp3,F major,136,,,,,,,,,
0KIqDAijbS8.mp3,D major,97,,,,,,,,,
0K8lrVjT6fM.mp3,C minor,108,,,,,,,,,
0LcHFkXmCb8.mp3,B minor,152,,,,,,,,,
0ljPuSfPbSw.mp3,A minor,120,,,,,,,,,
0tteHhYh9rU.mp3,A major,151,,,,,,,,,
0UoJyED73bQ.mp3,F minor,164,,,,,,,,,
0QkZL3l1t-w.mp3,F minor,135,,,,,,,,,
0PgjcgqFYP4.mp3,C major,152,,,,,,,,,
0XSNrKgA94g.mp3,F major,148,,,,,,,,,
0WUF3yjgGf4.mp3,A# minor,90,,,,,,,,,
1DHo8fYFsd0.mp3,A minor,91,,,,,,,,,
1dcPHVFHCRY.mp3,E minor,113,,,,,,,,,
1Dp0aCWbQSE.mp3,D minor,153,,,,,,,,,
1j6YA03hm4k.mp3,A# major,112,,,,,,,,,
1Fki1SJ17kQ.mp3,G major,140,,,,,,,,,
1dc1eKHgy_o.mp3,D minor,99,,,,,,,,,
1KPPtmE079M.mp3,D major,83,,,,,,,,,
1krJqn3smbI.mp3,A# major,162,,,,,,,,,
1MF4sCvkAAA.mp3,G# major,152,,,,,,,,,
1lMxZNFripE.mp3,C major,105,,,,,,,,,
1Pahqq-1hp0.mp3,D# major,81,,,,,,,,,
1shK-j_u6LI.mp3,A# minor,112,,,,,,,,,
1qB0lb401ZU.mp3,G minor,126,,,,,,,,,
1SlSxuhLJVE.mp3,D# major,107,,,,,,,,,
1t7rSZT_77E.mp3,A minor,103,,,,,,,,,
1USbTGYv9ZM.mp3,D minor,118,,,,,,,,,
1w1myYavVsE.mp3,G minor,109,,,,,,,,,
1sElYG7LmUU.mp3,A major,163,,,,,,,,,
1vtcf13zT08.mp3,A major,129,,,,,,,,,
1WlRcXIO5ik.mp3,D# major,109,,,,,,,,,
1XLyCDsKhGo.mp3,A# minor,91,,,,,,,,,
2_M0SDk3ZaM.mp3,C# minor,124,,,,,,,,,
2BXRGzjo1_Q.mp3,G minor,162,,,,,,,,,
2Dq2-98HliQ.mp3,E minor,108,,,,,,,,,
1Yq6W7YAHM4.mp3,D major,117,,,,,,,,,
2G0loI0Jn5M.mp3,C minor,112,,,,,,,,,
2fQUYCPe3Cs.mp3,F major,146,,,,,,,,,
2IRWtukPJag.mp3,D major,100,,,,,,,,,
2j4RF6cx0SY.mp3,A minor,100,,,,,,,,,
2jaOd1v1B0Q.mp3,G# minor,100,,,,,,,,,
2j65DpagyhI.mp3,B minor,117,,,,,,,,,
2MwarUSvaLM.mp3,D# minor,151,,,,,,,,,
2Md5lPyuvsk.mp3,F# minor,117,,,,,,,,,
2nwRiuh1Cug.mp3,D major,178,,,,,,,,,
2qS1ZSqwIgM.mp3,D# major,151,,,,,,,,,
2RHEjneBRak.mp3,A major,116,,,,,,,,,
2msbfN81Gm0.mp3,A minor,123,,,,,,,,,
2qdW7ramMr4.mp3,A# major,147,,,,,,,,,
2T-AxWMZBfU.mp3,C major,90,,,,,,,,,
2S2VUCdbhg0.mp3,A major,108,,,,,,,,,
2v7lsnPvgtI.mp3,C minor,110,,,,,,,,,
2ULiauoHeeI.mp3,A minor,162,,,,,,,,,
2uT9fjUmm-M.mp3,G major,161,,,,,,,,,
2ywv_JCyolU.mp3,A# major,164,,,,,,,,,
2yO4-Oh-JP4.mp3,D minor,129,,,,,,,,,
3_1LKqsFguE.mp3,G# minor,162,,,,,,,,,
2xwUuSM06xQ.mp3,D minor,114,,,,,,,,,
3bY7aOx8WHk.mp3,A minor,132,,,,,,,,,
3d5id_cwHUM.mp3,G minor,109,,,,,,,,,
3dnW8QJxHD0.mp3,C major,97,,,,,,,,,
2zfqw8nhUwA.mp3,G# major,114,,,,,,,,,
3DYUUdkFQl0.mp3,A# major,151,,,,,,,,,
3FtNm9CgA6U.mp3,C# major,162,,,,,,,,,
